Date,close,atr,atr_sma,adx,plus_di,minus_di,direction,volatility,regime,action,activation
2020-09-11,1.2808295488357544,0.015975774155989064,0.012576172167230969,27.962651089611214,14.233738632552308,25.2015700211646,Bear,Volatile,Bear Volatile,proceed,active
2020-09-14,1.2806557416915894,0.015713790396150524,0.012628042526486463,27.377655316220533,15.936322675657344,23.791612114933436,Bear,Volatile,Bear Volatile,proceed,active
2020-09-15,1.2849671840667725,0.015436723928427092,0.012674955481344626,26.731864181870783,15.519351197446287,22.488733916145637,Bear,Volatile,Bear Volatile,proceed,active
2020-09-16,1.2884771823883057,0.015449022701104488,0.012725835939440284,25.32205145150106,18.137680583368574,20.865771566626087,Bear,Volatile,Bear Volatile,proceed,active
2020-09-17,1.2959998846054077,0.015263943506093258,0.012773357452559399,24.111237114931498,17.046347101575932,20.160829941924927,Sideways,Volatile,Sideways Volatile,stay_out,disabled
2020-09-18,1.2975554466247559,0.014620500819069194,0.012812868788192886,22.944646723799526,16.7233834857563,19.54466466549113,Sideways,Volatile,Sideways Volatile,stay_out,disabled
2020-09-21,1.2932761907577515,0.014961604150304241,0.01286678430910287,23.070738557870342,15.17482022378583,25.135464273674888,Sideways,Volatile,Sideways Volatile,stay_out,disabled
2020-09-22,1.2820513248443604,0.01545498558014614,0.012927289411553251,23.614248742583552,13.641069676735821,25.71567091121441,Sideways,Volatile,Sideways Volatile,stay_out,disabled
2020-09-23,1.2744048833847046,0.015357763459064972,0.01298961182908434,24.325926213802333,12.746893983793811,25.634494140084346,Sideways,Volatile,Sideways Volatile,stay_out,disabled
2020-09-24,1.2717468738555908,0.014844505671029953,0.013044388994000384,24.98676957993406,12.245652319979179,24.626477872736523,Sideways,Volatile,Sideways Volatile,stay_out,disabled
2020-09-25,1.2757054567337036,0.014587381970581107,0.013100239007067565,25.22335162515981,13.004950925523646,23.27051550097789,Bear,Volatile,Bear Volatile,proceed,active
